"variables","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-5.88589979576657,0.0852403073344857,-69.0506637038521,0
"monthMon",0.134951875769154,0.0332101758153879,4.06357004911201,4.83278099630745e-05
"monthSum",-0.0432502563232361,0.0302196665469802,-1.43119568364522,0.152374140282368
"monthWin",-0.462150683089602,0.029560672563173,-15.6339705093636,4.27325315371011e-55
"timegroups2007-2010",0.361718227970691,0.0501895906179208,7.20703682810148,5.71825420775283e-13
"timegroups2011-2012",0.556608663556289,0.0500720154863075,11.1161625540817,1.04678237506387e-28
"timegroups2013",0.435869566729747,0.0471706652031646,9.24026754450996,2.45881650441431e-20
"timegroups2014",0.459538281029239,0.0404157183490278,11.3702861114751,5.87945490172514e-30
"timegroups2015",0.409890008085301,0.038570961468512,10.6269066800401,2.23399649638e-26
"timegroups2016",0.494711993961735,0.0377237000298652,13.1140899108539,2.73445051291966e-39
"timegroups2017",0.656594989556775,0.0373158797045685,17.5955918701386,2.66259384186085e-69
"timegroups2018",0.674858219504665,0.0372106241160686,18.1361703958424,1.65145436927902e-73
"timegroups2019",0.82808481638386,0.037017397565481,22.3701521674785,7.68741036538676e-111
"timegroups2020",0.840916026738285,0.0368405571713905,22.8258227156054,2.54110837470563e-115
"timegroups2021",0.987631885618722,0.0367272217504788,26.8910045069185,2.79828513037286e-159
"timegroups2022",1.01603535225089,0.0367114378120699,27.6762614815605,1.34837898872683e-168
"timegroupsbefore 2000",-0.0680756622040132,0.0512496547537401,-1.32831455218818,0.184074214303876
"monthAut:log(no_sp)",0.978179723090487,0.00718751637141741,136.094260178719,0
"monthMon:log(no_sp)",1.06028936862362,0.00807937855807986,131.234025117349,0
"monthSum:log(no_sp)",1.03340681782428,0.00652399848077181,158.400836675551,0
"monthWin:log(no_sp)",1.01456112847525,0.00594743170320607,170.588109137653,0
